STATE,LATITUDE,LONGITUDE,DATETIME,PR,RMAX,RMIN,SPH,SRAD,TMMN,TMMX,VS,BI,FM100,FM1000,ERC,ETR,PET,VPD
MD,39.1108333320764,-76.786944444,2018-12-31,17.5,100,57.3,0.00359,86,270.2,279.7,1.4,0,22.5,25,4,0.7,0.5,0.15
VA,37.094722199092,-82.2947222,2018-01-15,0,75.6,30.5,0.0016,113.7,263.9,275.5,4.5,31,14.9,18.2,30,2.1,1.4,0.27
VA,37.094722199092,-82.2947222,2018-01-16,2.9,100,50.4,0.00215,38.6,258.2,273.5,2.9,0,17.3,18.6,17,0.7,0.5,0.08
VA,37.094722199092,-82.2947222,2018-01-17,0,86.5,52.8,0.00104,67.7,256.8,263.4,5.4,29,17.2,18.7,23,0.8,0.5,0.07
VA,37.094722199092,-82.2947222,2018-01-18,0,100,31.1,0.00126,127.6,257,272,4.5,29,18,18.5,26,1.5,1,0.18
VA,37.094722199092,-82.2947222,2018-01-19,0,75,18.5,0.00139,127.1,262.2,279.3,5.3,35,15.7,17.9,31,3.2,2,0.39
VA,37.094722199092,-82.2947222,2018-01-20,0,74.4,32.3,0.00277,128.5,271.4,282.7,6,38,14.4,17.6,32,3.5,2.2,0.44
VA,37.094722199092,-82.2947222,2018-01-21,0,88,45.3,0.00474,66.7,276.5,286.3,4.4,29,14.5,17.7,29,2.7,1.8,0.42
VA,37.094722199092,-82.2947222,2018-01-22,0.7,90.6,35.2,0.00495,117.1,276.7,290.4,7,0,14.6,17.7,22,4.7,3,0.62
VA,37.094722199092,-82.2947222,2018-01-23,0,100,49.6,0.00383,89.3,270.4,281.9,8.3,41,16.1,17.7,28,2.3,1.5,0.23
VA,37.094722199092,-82.2947222,2018-01-24,0,98.5,66.7,0.00264,95.5,266.9,272.8,5.2,28,16.7,17.8,24,0.9,0.7,0.09
VA,37.094722199092,-82.2947222,2018-01-25,0,82.7,30.4,0.00216,137.4,266.6,279.8,2.7,26,15.7,17.4,32,2.1,1.4,0.35
VA,37.094722199092,-82.2947222,2018-01-26,0,49.1,15.1,0.00201,134.3,272.9,287,4.3,36,13.3,16.8,37,4.8,3,0.79
VA,37.094722199092,-82.2947222,2018-01-27,9,82.6,37.3,0.00429,63.3,276,287.4,5.7,0,15.6,17.5,21,3.8,2.4,0.53
VA,37.094722199092,-82.2947222,2018-01-28,6.4,100,63,0.0051,41.3,270.8,282.9,3.3,0,18.5,18.3,16,0.8,0.6,0.08
VA,37.094722199092,-82.2947222,2018-01-29,3.9,100,40,0.00316,90.2,264.9,281.9,5.4,0,19.6,18.8,15,2.1,1.4,0.25
VA,37.094722199092,-82.2947222,2018-01-30,0.4,74.3,41.6,0.00161,115.9,264.2,271.9,4.8,29,17.6,18.5,25,1.7,1.1,0.19
VA,37.094722199092,-82.2947222,2018-01-31,0,81.6,21,0.00173,127.3,263.9,281,6.1,38,15.2,18.3,31,3.6,2.3,0.42
VA,37.094722199092,-82.2947222,2018-02-01,13.8,100,50.2,0.00339,52.5,265.8,280.1,6,0,19.4,19.4,14,1.5,1,0.16
VA,37.094722199092,-82.2947222,2018-02-02,0.7,92.4,58.5,0.00149,132.8,260.4,266.9,5,0,19.3,19.6,13,0.9,0.6,0.08
VA,37.094722199092,-82.2947222,2018-02-03,4.7,83.1,23.5,0.00139,103.8,260.9,276.8,3.7,0,18.2,19.6,16,2.3,1.5,0.3
VA,37.094722199092,-82.2947222,2018-02-04,14.4,97.8,49.9,0.003,40.4,268.7,278.4,4.9,0,21.5,20.7,10,1.7,1.1,0.21
VA,37.094722199092,-82.2947222,2018-02-05,0,78.1,47.7,0.00221,141.5,267.7,274.7,3.6,22,19.7,20.6,20,1.7,1.2,0.21
VA,37.094722199092,-82.2947222,2018-02-06,4.6,83.9,44.9,0.00322,74.6,271.8,280.8,3.2,0,19.3,20.9,12,2,1.4,0.31
VA,37.094722199092,-82.2947222,2018-02-07,12.6,100,49.9,0.0042,39,268.3,283.3,5.8,0,22,22.2,7,1.6,1.1,0.19
VA,37.094722199092,-82.2947222,2018-02-08,0,72.4,33.3,0.00209,152.8,268,278.4,2.8,20,18.8,21.5,20,2.2,1.5,0.33
VA,37.094722199092,-82.2947222,2018-02-09,4.8,49.7,21.1,0.00253,150.4,276,286.9,4.6,0,17.1,21.5,13,4.9,3.1,0.78
VA,37.094722199092,-82.2947222,2018-02-10,83,100,62.8,0.00605,52.9,276.7,285.6,3.9,0,20.5,22.6,7,1.5,1.1,0.19
VA,37.094722199092,-82.2947222,2018-02-11,12.7,100,57.6,0.00734,47.3,274.6,289.8,5.9,0,22.9,23.3,5,1.5,1.1,0.16
VA,37.094722199092,-82.2947222,2018-02-12,0,84.2,72.1,0.00371,95.1,273.7,276.6,5.3,17,22.2,23.4,9,1.4,1,0.14
VA,37.094722199092,-82.2947222,2018-02-13,1.7,96.9,48.3,0.00463,104.7,274.8,285.2,4.6,0,21.7,23.6,6,2.6,1.8,0.34
VA,37.094722199092,-82.2947222,2018-02-14,3.5,89.2,59.3,0.00667,41,281.3,287.9,6.7,0,21.2,23.6,5,2.7,1.8,0.36
VA,37.094722199092,-82.2947222,2018-02-15,0.3,82.5,53.9,0.00819,124.8,285.6,292.5,10.1,32,19.3,23.3,14,5.1,3.3,0.59
VA,37.094722199092,-82.2947222,2018-02-16,14.1,100,45.5,0.00619,48.2,275.2,290.5,6.2,0,21.9,24.5,4,3,1.9,0.4
VA,37.094722199092,-82.2947222,2018-02-17,30.6,90.7,58.8,0.00406,49.5,273.9,280.6,2.9,0,23.7,25.2,1,1.4,1,0.22
VA,37.094722199092,-82.2947222,2018-02-18,0.6,81.1,36.8,0.0037,169.2,274.2,285.5,4,0,20.9,24.4,5,3.4,2.3,0.48
VA,37.094722199092,-82.2947222,2018-02-19,0,100,40.6,0.00697,129.5,278.9,294,6.5,25,19.2,24.3,14,4.7,3.1,0.63
VA,37.094722199092,-82.2947222,2018-02-20,0,99.8,36.2,0.00779,165.9,281.9,297.5,7,28,17.4,24,16,6.4,4.2,0.9
VA,37.094722199092,-82.2947222,2018-02-21,2,92.5,38.8,0.00818,135.9,283.8,297.3,5.6,0,16.5,23.7,10,5.6,3.7,0.9
VA,37.094722199092,-82.2947222,2018-02-22,0,98.6,39.6,0.00785,116.7,282.2,296.3,3.4,20,15.4,23.4,18,4,2.8,0.79
VA,37.094722199092,-82.2947222,2018-02-23,1.4,89.3,39,0.00832,154.2,284.6,297.5,3.4,0,15.2,22.9,12,4.6,3.2,0.93
VA,37.094722199092,-82.2947222,2018-02-24,21,91.6,50.8,0.00821,70.2,284,293.4,5.5,0,18.4,23.3,8,3.8,2.5,0.58
VA,37.094722199092,-82.2947222,2018-02-25,3.2,100,68.9,0.00695,118.6,278.9,286.4,6.2,0,19.7,23.2,7,1.8,1.4,0.16
VA,37.094722199092,-82.2947222,2018-02-26,1.2,90.5,42.7,0.00343,102.3,271.6,282.4,2.4,0,17.9,23.1,9,2,1.5,0.33
VA,37.094722199092,-82.2947222,2018-02-27,0,74.2,20.7,0.0028,188.4,271.6,288.7,3.5,24,15,22.7,22,4.5,3,0.73
VA,37.094722199092,-82.2947222,2018-02-28,6.5,81.1,54.2,0.00528,58.5,279.3,285.6,4,0,16.7,23.1,10,2.5,1.7,0.39
VA,37.094722199092,-82.2947222,2018-03-01,14.1,100,57.6,0.0059,62.9,273.3,286.6,7.1,0,20.3,24.3,5,1.8,1.3,0.18
VA,37.094722199092,-82.2947222,2018-03-02,0,83,36,0.0026,180,268.8,280.8,8.2,30,18.5,23.9,16,3.6,2.4,0.35
VA,37.094722199092,-82.2947222,2018-03-03,0,71.4,25.8,0.00201,218.6,267.4,281.3,5.4,28,16,22.7,21,3.8,2.6,0.44
VA,37.094722199092,-82.2947222,2018-03-04,0,72.3,22.3,0.00205,220,267.5,283.4,3.9,26,14.1,22,24,3.8,2.6,0.51
VA,37.094722199092,-82.2947222,2018-03-05,2.5,56.8,17.8,0.00213,208.6,271.3,286.8,2.5,0,13.2,21.9,16,3.9,2.8,0.72
VA,37.094722199092,-82.2947222,2018-03-06,1.4,100,44.2,0.00408,142.8,272,284.7,5.2,0,15.1,22.1,13,2.9,2.1,0.34
VA,37.094722199092,-82.2947222,2018-03-07,0.8,77.2,59,0.00264,89.1,270,274.6,6.7,0,14.9,21.7,13,1.9,1.3,0.18
VA,37.094722199092,-82.2947222,2018-03-08,1.3,67.1,43.7,0.00196,79.2,267.9,274.3,6.7,0,14.1,21.2,15,2.4,1.6,0.24
VA,37.094722199092,-82.2947222,2018-03-09,0.5,70.8,30.3,0.00207,199.9,267.9,279.7,5,30,13.5,20.8,26,3.4,2.3,0.38
VA,37.094722199092,-82.2947222,2018-03-10,0,82.2,41.4,0.00345,78.8,272.8,283.1,2.1,20,13.4,20.1,25,2.1,1.5,0.38
VA,37.094722199092,-82.2947222,2018-03-11,9,93.1,37.4,0.0038,124.2,272.4,285.9,3.8,0,16.7,20.7,14,3.2,2.2,0.45
VA,37.094722199092,-82.2947222,2018-03-12,4.3,84.7,63.7,0.00292,81,270.1,275,6.3,0,17.6,21.1,11,1.6,1.1,0.15
VA,37.094722199092,-82.2947222,2018-03-13,2.9,79,42.6,0.00221,114.7,267.3,276.3,6.2,0,17.1,21.2,13,2.4,1.6,0.24
VA,37.094722199092,-82.2947222,2018-03-14,1.4,68.4,43,0.00177,120.1,266.3,273.1,7.5,0,15.6,20.9,15,2.3,1.6,0.22
VA,37.094722199092,-82.2947222,2018-03-15,0,72.3,22.6,0.00272,235.7,271.3,287.5,8.9,44,14.4,20.4,27,6.4,4.2,0.67
VA,37.094722199092,-82.2947222,2018-03-16,1.8,55.7,20.6,0.00228,246.5,272.5,286,3.1,0,12.8,20.1,19,4.4,3.2,0.69
VA,37.094722199092,-82.2947222,2018-03-17,5.8,100,29.1,0.00507,206.1,275.1,293.9,5,0,15.4,20.3,17,5.7,3.9,0.8
VA,37.094722199092,-82.2947222,2018-03-18,0,80.7,31.2,0.00388,238.8,274.7,288.7,2,22,14.6,19.7,28,3.6,2.8,0.63
VA,37.094722199092,-82.2947222,2018-03-19,6.9,83.4,27.1,0.00419,127.8,275.3,291.8,2.5,0,15.6,20,17,3.9,2.7,0.79
VA,37.094722199092,-82.2947222,2018-03-20,18.4,100,56.7,0.00527,164.7,271.8,285.1,3.7,0,19.4,21.2,11,2,1.6,0.17
VA,37.094722199092,-82.2947222,2018-03-21,1.5,83,67.2,0.00258,100.8,268.7,272.6,8.6,0,18.7,21.2,10,1.5,1.1,0.12
VA,37.094722199092,-82.2947222,2018-03-22,0,78.2,32.6,0.00227,217.6,267.8,280.1,5.3,29,16.4,20.9,23,3.4,2.4,0.36
VA,37.094722199092,-82.2947222,2018-03-23,0,69.4,25.1,0.00222,232.5,269.1,283.1,4,28,14.4,20.6,26,4,2.8,0.5
VA,37.094722199092,-82.2947222,2018-03-24,41.5,79,71.3,0.00327,85.6,272.6,275.1,4.5,0,18,21.4,11,1.5,1.1,0.15
VA,37.094722199092,-82.2947222,2018-03-25,0,81.3,35.7,0.00339,229.1,272.7,284.8,6,31,16.6,21,23,4.3,3,0.46
VA,37.094722199092,-82.2947222,2018-03-26,0,64.6,27.3,0.00293,121.2,273.9,286.2,7.4,37,14.1,20.5,26,5.4,3.5,0.63
VA,37.094722199092,-82.2947222,2018-03-27,0,77.8,39.4,0.00519,142.6,279.4,290,7.5,38,13.3,19.8,27,5.4,3.6,0.64
VA,37.094722199092,-82.2947222,2018-03-28,0,82.4,53.3,0.0073,100.7,283.6,291,6.2,32,13.3,19.6,25,4.1,2.8,0.54
VA,37.094722199092,-82.2947222,2018-03-29,9.4,83,33.6,0.00726,224.3,283.4,297.7,6.2,0,15.4,20.3,16,7.5,5.1,1.06
VA,37.094722199092,-82.2947222,2018-03-30,1.2,100,48.9,0.00427,126.5,272.2,284,5,0,16.5,20.5,14,2.6,1.9,0.28
VA,38.3569444390817,-78.53611111,2018-10-01,0,100,53.4,0.012,212.7,286.7,298.3,3.1,14,19.9,27,9,3.9,3.2,0.56
VA,38.3569444390817,-78.53611111,2018-10-02,4.3,98.9,55.6,0.01201,184.6,288.2,297.7,4.4,0,19.8,27.2,2,4.1,3.2,0.58
VA,38.3569444390817,-78.53611111,2018-10-03,0,92.6,47.4,0.01146,203.5,288.5,299.3,2,13,18.5,26.7,11,3.9,3.2,0.84
VA,38.3569444390817,-78.53611111,2018-10-04,0,96.5,48.1,0.01233,205.7,289,300.3,2.7,16,17.4,26,13,4.4,3.5,0.84
VA,38.3569444390817,-78.53611111,2018-10-05,0,94.3,62.9,0.01212,186.1,289.1,296,3.2,15,17.5,25.9,11,3.4,2.8,0.47
VA,38.3569444390817,-78.53611111,2018-10-06,0,100,63.3,0.01287,175.9,288.6,296.9,2.3,14,18.2,25.4,11,2.9,2.5,0.4
VA,38.3569444390817,-78.53611111,2018-10-07,0,100,54.8,0.01368,195.4,289.6,300.1,2.1,15,18.2,24.9,14,3.6,3,0.65
VA,38.3569444390817,-78.53611111,2018-10-08,0,100,63,0.01412,159.2,289.6,298.5,3.1,16,18.5,24.4,13,3.1,2.5,0.42
VA,38.3569444390817,-78.53611111,2018-10-09,9.1,97.3,65.7,0.01324,175.8,290,296.8,2.7,0,20.1,25,4,3.1,2.6,0.42
VA,38.3569444390817,-78.53611111,2018-10-10,9.3,85,65.4,0.01327,135.9,292.2,296.9,3.5,0,21,25.5,2,3.4,2.6,0.57
VA,38.3569444390817,-78.53611111,2018-10-11,40,100,65.4,0.0124,108.8,281.9,295.8,4.1,0,23.3,26.4,0,1.5,1.3,0.07
VA,38.3569444390817,-78.53611111,2018-10-12,0.8,77.4,41.8,0.00546,201.9,280,289.1,3.6,0,19.9,26.1,3,3.8,2.7,0.58
VA,38.3569444390817,-78.53611111,2018-10-13,0,91.4,47.1,0.00529,142.2,277.1,287,2.2,13,18.7,25.6,11,2.3,1.8,0.4
VA,38.3569444390817,-78.53611111,2018-10-14,5.4,90.8,58.7,0.00595,50.8,278.9,285.8,2.2,0,19.6,25.7,3,1.5,1.1,0.29
VA,38.3569444390817,-78.53611111,2018-10-15,0,100,61.1,0.00981,133.6,283.1,293,4.9,18,19.5,25.4,10,2.5,1.9,0.29
VA,38.3569444390817,-78.53611111,2018-10-16,0,91.9,62.7,0.00739,150.4,281.9,288.2,2.7,14,19.6,25.1,10,2.2,1.8,0.3
VA,38.3569444390817,-78.53611111,2018-10-17,0,79.3,37.1,0.00498,191.9,278.3,289.3,4,21,17.9,24.6,16,4,2.8,0.61
VA,38.3569444390817,-78.53611111,2018-10-18,0,83.2,30.7,0.00365,175.1,273.2,287,2.2,18,16.7,23.8,18,2.9,2.1,0.55
VA,38.3569444390817,-78.53611111,2018-10-19,0,100,34.3,0.00491,184.2,273.8,290.1,4.2,22,17.2,23.8,17,3.8,2.6,0.55
VA,38.3569444390817,-78.53611111,2018-10-20,1.5,94.6,54.8,0.00629,118.4,279.1,287.6,5.2,0,18,23.7,8,2.7,1.9,0.34
VA,38.3569444390817,-78.53611111,2018-10-21,0,93.7,41.3,0.00326,175.4,270,281.5,4.6,23,17.7,23.3,17,2.6,1.8,0.3
VA,38.3569444390817,-78.53611111,2018-10-22,0,98.5,34.1,0.00369,179.5,271,285.8,4,23,17.7,23,18,3.2,2.2,0.44
VA,38.3569444390817,-78.53611111,2018-10-23,0,83.7,29.3,0.00403,180.1,274.5,289.1,3.8,25,16.1,22.5,22,3.9,2.7,0.64
VA,38.3569444390817,-78.53611111,2018-10-24,0,98.6,37.1,0.00364,148.4,270.8,284.5,4,24,16.4,22.2,20,2.8,1.9,0.38
VA,38.3569444390817,-78.53611111,2018-10-25,0,94.8,39.3,0.0036,169.5,271.2,283.6,1.6,17,16.3,21.8,21,1.9,1.5,0.35
VA,38.3569444390817,-78.53611111,2018-10-26,48.8,100,67.6,0.00497,68.4,273.3,281.2,3.8,0,20.4,23,5,1,0.8,0.1
VA,38.3569444390817,-78.53611111,2018-10-27,0.8,83.2,60.8,0.00534,79.5,278.6,283.7,3.1,0,18.7,22.7,9,1.8,1.3,0.28
VA,38.3569444390817,-78.53611111,2018-10-28,3.9,80.5,58.6,0.00527,132.6,278.9,284,4.6,0,18.1,22.6,10,2.4,1.7,0.31
VA,38.3569444390817,-78.53611111,2018-10-29,0,96,48.3,0.00437,146.6,273.7,283.8,4.2,23,17.7,22.3,18,2.3,1.6,0.3
VA,38.3569444390817,-78.53611111,2018-10-30,0,94.8,36.4,0.00454,162.1,274.4,288.1,2.5,20,17.2,22.1,20,2.6,1.9,0.5
VA,38.3569444390817,-78.53611111,2018-10-31,0,100,40,0.00668,159.3,277.2,292.9,4.6,25,17.7,22,20,3.7,2.5,0.55
VA,38.3569444390817,-78.53611111,2018-11-01,1.5,94.2,52.2,0.00829,147.7,283.2,292.9,6.4,0,17.4,21.8,11,3.9,2.6,0.52
VA,38.3569444390817,-78.53611111,2018-11-02,36,100,70.5,0.00911,98.9,277.2,290,5.8,0,21,22.7,7,0.7,0.7,0
VA,38.3569444390817,-78.53611111,2018-11-03,0,100,44.3,0.00402,149.4,271.6,284,4.2,22,20.4,22.6,16,2.4,1.6,0.32
VA,38.3569444390817,-78.53611111,2018-11-04,40.1,92.8,42.7,0.00421,148.3,273.6,285.2,3.4,0,22.1,23.5,6,2.5,1.7,0.38
VA,38.3569444390817,-78.53611111,2018-11-05,15.1,99.1,81.3,0.00713,81,280.2,284.2,2,0,24.4,24.7,0,0.9,0.8,0.08
VA,38.3569444390817,-78.53611111,2018-11-06,8.3,100,71.5,0.00761,77.5,277.5,287,5.3,0,24.9,25.4,0,0.9,0.8,0.06
VA,38.3569444390817,-78.53611111,2018-11-07,0,83.3,39.8,0.00448,101.2,276,287.1,2.5,15,20.4,25,12,2.4,1.6,0.5
VA,38.3569444390817,-78.53611111,2018-11-08,0.6,73.2,41.8,0.00405,131.9,276.4,284.9,3.7,0,17.5,24.6,7,2.8,1.9,0.47
VA,38.3569444390817,-78.53611111,2018-11-09,11.4,98.2,76,0.00482,39.9,274.7,279.4,2.4,0,20.9,25,2,0.7,0.6,0.09
VA,38.3569444390817,-78.53611111,2018-11-10,0,87.3,36.6,0.00231,119.5,266.3,278.4,4.4,20,19.4,24.8,13,2.2,1.4,0.28
VA,38.3569444390817,-78.53611111,2018-11-11,0,69.6,31.5,0.002,141.5,267.4,278.2,2,17,16.6,24,18,1.7,1.2,0.34
VA,38.3569444390817,-78.53611111,2018-11-12,41.7,85.9,53.7,0.00335,105.1,271.5,278.8,2,0,19.5,24.6,5,1.3,0.9,0.22
VA,38.3569444390817,-78.53611111,2018-11-13,0.4,99.4,67.5,0.00417,41.2,272.5,278.9,2.9,15,19.2,24.4,11,0.9,0.7,0.12
VA,38.3569444390817,-78.53611111,2018-11-14,13.1,58.8,37.1,0.00227,121,271.4,278,3.6,0,20,25.3,4,2.3,1.5,0.36
VA,38.3569444390817,-78.53611111,2018-11-15,43.9,75.7,54.3,0.00276,36.1,270.6,275.9,6.3,0,21.3,26.3,1,1.8,1.2,0.21
VA,38.3569444390817,-78.53611111,2018-11-16,0,74.8,42.5,0.00277,131.6,270.8,279.1,4.1,19,18.7,25.3,13,2.2,1.4,0.31
VA,38.3569444390817,-78.53611111,2018-11-17,0,93.3,40.6,0.00314,129,269.5,281.5,1.8,14,17.9,25.2,14,1.5,1,0.31
VA,38.3569444390817,-78.53611111,2018-11-18,0,100,57.8,0.00406,118.2,271.6,280.6,3,15,18.8,25.1,11,1.3,0.9,0.18
VA,38.3569444390817,-78.53611111,2018-11-19,0,100,50.6,0.00514,97.7,274.7,285.9,3.1,17,19.1,24.5,13,1.8,1.3,0.3
VA,38.3569444390817,-78.53611111,2018-11-20,0,100,54.5,0.00415,65.5,268.4,281.7,3.1,16,19.4,24.4,12,1.1,0.8,0.15
VA,38.3569444390817,-78.53611111,2018-11-21,0,84.2,33.9,0.00275,124.8,269.1,281.9,2.9,19,17.5,23.9,17,2.1,1.4,0.38
VA,38.3569444390817,-78.53611111,2018-11-22,0,70.5,50,0.0022,71.5,268.5,273.8,3.4,20,15.7,23.3,17,1.5,1,0.21
VA,38.3569444390817,-78.53611111,2018-11-23,10.4,54.1,37,0.00179,109,269.3,274.7,3,0,16.9,23.5,9,1.9,1.2,0.3
VA,38.3569444390817,-78.53611111,2018-11-24,34.3,100,73.5,0.00365,37.7,270.5,275.9,2.7,0,20.9,24.8,3,0.6,0.5,0.07
VA,38.3569444390817,-78.53611111,2018-11-25,0.9,100,40.1,0.00448,117.8,273,287,2.2,0,20.5,24.7,5,1.9,1.3,0.42
VA,38.3569444390817,-78.53611111,2018-11-26,1.5,100,53.3,0.00444,54.4,272.9,283,5.5,0,20.6,24.4,5,1.9,1.3,0.24
VA,38.3569444390817,-78.53611111,2018-11-27,0,74.3,48.5,0.00225,105.9,268.1,274.5,4.6,22,17.8,23.9,15,1.7,1.1,0.21
VA,38.3569444390817,-78.53611111,2018-11-28,0,57.5,32.3,0.00165,116.9,267.4,275.2,4.8,25,15.2,23.5,19,2.3,1.5,0.31
VA,38.3569444390817,-78.53611111,2018-11-29,0,63.5,32.2,0.00195,93,268.3,277.6,2.3,20,13.5,22.9,21,1.7,1.1,0.34
VA,38.3569444390817,-78.53611111,2018-11-30,0,89.6,49.2,0.00365,69.6,272.1,281.2,1.9,17,14.7,22.4,20,1.3,0.9,0.27
VA,38.3569444390817,-78.53611111,2018-12-01,13.8,91.8,71,0.00441,51.3,274.7,278.9,2.7,0,19.5,23.3,4,1,0.7,0.14
VA,38.3569444390817,-78.53611111,2018-12-02,0,100,73.7,0.00706,104.7,275.8,285.3,4.4,19,20.1,23.2,13,0.5,0.5,0.01
VA,38.3569444390817,-78.53611111,2018-12-03,0,94.5,50,0.00405,118.6,273.1,282.3,4.1,23,18.2,22.7,18,1.9,1.2,0.27
VA,38.3569444390817,-78.53611111,2018-12-04,0,91.9,63.7,0.00296,72.1,269.2,274.7,2.7,18,17.1,22.5,17,0.9,0.6,0.12
VA,38.3569444390817,-78.53611111,2018-12-05,1.1,87.1,64.6,0.00234,46.5,266.8,271.3,2.4,0,16.3,22.4,11,0.7,0.5,0.1
VA,38.3569444390817,-78.53611111,2018-12-06,0,69,42.2,0.00203,102.6,268.1,274.6,3.4,23,14.3,22.1,22,1.6,1,0.24
VA,38.3569444390817,-78.53611111,2018-12-07,0,88.4,38.8,0.00207,87.4,265,275.9,2.4,20,14.5,21.6,23,1.3,0.8,0.23
VA,38.3569444390817,-78.53611111,2018-12-08,0,76.8,36.5,0.00175,113.5,264.7,274.3,2.1,21,13.5,20.6,26,1.2,0.8,0.23
VA,38.3569444390817,-78.53611111,2018-12-09,19.2,80.5,53.2,0.00219,69.9,267,272.8,4.5,0,17.6,21.6,10,1.3,0.9,0.16
VA,38.3569444390817,-78.53611111,2018-12-10,0,99,38.9,0.00196,113.2,262.8,275.1,3.6,22,18.5,21.5,19,1.4,0.9,0.2
VA,38.3569444390817,-78.53611111,2018-12-11,0,89,31.2,0.00187,117.3,263.6,277.1,2.6,20,19,21.6,20,1.5,1,0.27
VA,38.3569444390817,-78.53611111,2018-12-12,0,79.8,34.9,0.00222,102.1,267.3,278.2,2.1,18,17.9,21.5,20,1.4,0.9,0.3
VA,38.3569444390817,-78.53611111,2018-12-13,0,82.2,38.2,0.00278,77.9,269.9,280.3,1.7,16,17.3,21.5,19,1.3,0.9,0.33
VA,38.3569444390817,-78.53611111,2018-12-14,59.1,88.1,52.1,0.00361,35.4,272.5,280.1,2.1,0,20.4,22.5,8,1.2,0.8,0.25
VA,36.8491666990943,-83.0052778,2018-08-31,5,94.8,52,0.01369,255.8,290.7,301.3,1.5,0,19,20.9,12,4.7,4.2,0.86
VA,36.8491666990943,-83.0052778,2018-09-01,0,90.2,50.8,0.01309,220.6,290.7,301.1,1.9,17,17.8,20.5,21,4.7,3.9,0.93
VA,36.8491666990943,-83.0052778,2018-09-02,0,89.9,48.8,0.01329,238.4,291,302,2.2,19,16.7,20.4,23,5.2,4.3,1.02
VA,36.8491666990943,-83.0052778,2018-09-03,0.5,87.3,46.7,0.01299,238.7,291.1,302.3,2.1,19,16,20.2,23,5.3,4.4,1.11
VA,36.8491666990943,-83.0052778,2018-09-04,0,82.4,46.1,0.01306,247.2,292.1,302.6,2.5,21,15.1,19.8,26,5.8,4.7,1.2
VA,36.8491666990943,-83.0052778,2018-09-05,0,85.2,52.4,0.01333,218.2,291.9,300.9,2.2,20,14.6,19.4,26,4.8,4,0.95
VA,36.8491666990943,-83.0052778,2018-09-06,4.6,94.9,54.7,0.01403,231.2,291,301.1,1.5,0,15.8,19.6,16,4.4,3.9,0.81
VA,36.8491666990943,-83.0052778,2018-09-07,2,91.7,55.9,0.01416,235.1,291.7,300.9,1.4,0,16.2,19.5,16,4.3,3.9,0.81
VA,36.8491666990943,-83.0052778,2018-09-08,5.7,88,54.6,0.0136,215.8,291.7,300.6,1.7,0,17.1,19.6,15,4.3,3.7,0.86
VA,36.8491666990943,-83.0052778,2018-09-09,2.9,86.9,53.5,0.01342,170.8,291.7,300.7,4.5,0,16.9,19.8,15,5.4,4,0.9
VA,36.8491666990943,-83.0052778,2018-09-10,12.7,99.4,67.1,0.01246,147.5,288.4,295.9,2.6,0,20,20.8,10,2.9,2.5,0.38
VA,36.8491666990943,-83.0052778,2018-09-11,0.3,97.4,67,0.01229,228.6,288.5,295.7,1.8,14,19.6,20.8,16,3.6,3.2,0.4
VA,36.8491666990943,-83.0052778,2018-09-12,0,90.5,53.3,0.01322,197.6,290.8,300.5,1.9,17,18.5,20.7,20,4.2,3.5,0.85
VA,36.8491666990943,-83.0052778,2018-09-13,0.7,91.3,50.8,0.01358,229.2,291.1,301.7,2.5,0,17.5,20.5,14,5,4.1,0.95
VA,36.8491666990943,-83.0052778,2018-09-14,1.6,92.1,54.3,0.0137,213.7,291.1,300.8,4.2,0,17.3,20.4,14,5.4,4.2,0.83
VA,36.8491666990943,-83.0052778,2018-09-15,0,80.5,56.7,0.01237,219.1,291.6,298.4,5.5,28,16.2,20,23,5.8,4.4,0.82
VA,36.8491666990943,-83.0052778,2018-09-16,23.1,86.1,77.1,0.01297,60.8,291.3,294.4,5.3,0,19.6,21.2,9,2.5,1.8,0.36
VA,36.8491666990943,-83.0052778,2018-09-17,10.3,88.1,75,0.01327,56.2,291.3,295.2,3.8,0,21,21.6,8,2.2,1.6,0.38
VA,36.8491666990943,-83.0052778,2018-09-18,0,96.3,57.1,0.01329,188.2,289.9,299.5,3.6,20,19.8,21.6,17,4.4,3.5,0.68
VA,36.8491666990943,-83.0052778,2018-09-19,0,95.7,52.9,0.01328,191.7,290,300.7,2.3,17,18.7,21.5,19,4.2,3.5,0.81
VA,36.8491666990943,-83.0052778,2018-09-20,0,90.9,51.1,0.0131,226,290.6,301,1.9,17,17.6,21.3,21,4.5,3.8,0.91
VA,36.8491666990943,-83.0052778,2018-09-21,0,94,56.9,0.0139,219.1,291,300.3,3.4,21,17.4,21.1,20,4.8,3.9,0.74
VA,36.8491666990943,-83.0052778,2018-09-22,6,92.2,61.2,0.01329,129.4,290.6,298.4,2.3,0,18.5,21.5,11,3.2,2.6,0.61
VA,36.8491666990943,-83.0052778,2018-09-23,2.3,93.4,70.5,0.01322,121,290.3,296.1,2,0,18.8,21.3,10,2.5,2.2,0.4
VA,36.8491666990943,-83.0052778,2018-09-24,4.3,84.3,68.4,0.01178,79.9,290.1,294.7,4.5,0,18.8,21.1,10,3.1,2.2,0.49
VA,36.8491666990943,-83.0052778,2018-09-25,1.1,89.2,65.9,0.01286,130.7,290.6,296.7,3.3,0,18.2,21.1,11,3.3,2.6,0.52
